sigx,RF,CMOD,disp,steps
0.6497399763684917,-47.82594333458358,0.0023043383480310653,-0.16170781364428477,0.08969484742371185
0.6537481681993857,-48.12098179273216,0.0023185538374593667,-0.1627053947034038,0.09024512256128064
0.6577565083253376,-48.416022441134544,0.0023327694177738,-0.1637029749538651,0.09079539769884942
0.6617647613750015,-48.7110620981738,0.00234698494250302,-0.16470055558647514,0.09134567283641822
0.6657729978483852,-49.0061003736915,0.002361200456236459,-0.16569813673709569,0.091895947973987
0.6697812549638387,-49.30113980092842,0.002375415989926303,-0.1666957173991703,0.09244622311155579
0.6737895707913455,-49.59618051373627,0.002389631556208062,-0.16769329763766408,0.09299649824912457
0.6777978138835932,-49.89121982160312,0.002403847072066728,-0.16869087839161157,0.09354677338669334
0.6818060616195987,-50.18625919921241,0.002418062598253983,-0.16968845915488714,0.09409704852426214
0.6858143637754295,-50.48129932472735,0.002432278157099798,-0.1706860395812297,0.09464732366183091
0.68982263481295,-50.77633892199236,0.0024464936965073562,-0.17168362020379657,0.09519759879939971
0.6938308879811702,-51.07137863584422,0.0024607092212118008,-0.17268120082083588,0.09574787393696849
0.697839154235184,-51.366418278739566,0.0024749247566385225,-0.1736787814445631,0.09629814907453726
0.7018474317907311,-51.66145791537362,0.002489140302085649,-0.17467636207439968,0.09684842421210606
0.7058556672324364,-51.95649646338783,0.0025033558104145155,-0.17567394308396517,0.09739869934967484
0.7098639032229945,-52.2515357491862,0.0025175713262624543,-0.17667152384318952,0.09794897448724363
0.7138721982766173,-52.54657563059828,0.0025317868801611673,-0.1776691043751534,0.09849924962481241
0.7178804868612125,-52.84161594905623,0.002546002434673525,-0.1786666847629451,0.0990495247623812
0.7218887530352152,-53.13665562092245,0.0025602179697382862,-0.1796642653775309,0.09959979989994998
0.7258970051837471,-53.43169384870576,0.00257443347047746,-0.18066184650043376,0.10015007503751876
0.7299052839081642,-53.726734456869046,0.0025886490382505054,-0.1816594267912402,0.10070035017508755
0.7339135532507561,-54.02177399691161,0.0026028645764222084,-0.18265700746935395,0.10125062531265633
0.7379218121602277,-54.316813826823356,0.00261708010451165,-0.1836545880276412,0.10180090045022512
0.7419300653065306,-54.61185289433267,0.0026312956284104926,-0.1846521688446874,0.1023511755877939
0.7459383539154604,-54.9068927255395,0.0026455111829014194,-0.18564974943616724,0.10290145072536268
0.7499465712438252,-55.20193080963949,0.0026597266699431403,-0.18664733061546748,0.10345172586293147
0.7539548874291854,-55.49697178753764,0.002673942253105386,-0.18764491074746348,0.10400200100050025
0.7581908447007467,-55.78786760751926,0.002681139160616651,-0.18864388794104378,0.10455227613806904
0.7625084741699653,-56.077284794137825,0.002685823833735411,-0.1896433634076277,0.10510255127563782
0.7668260206077375,-56.36670059238376,0.002690508502759384,-0.19064283936797016,0.10565282641320661
0.771119811373721,-56.65570201626803,0.0027094728857176634,-0.19164245954812464,0.10620310155077539
0.7778175220395103,-56.91422369496651,0.0026759479127905286,-0.19265236726457355,0.10675337668834417
0.7869233096243989,-57.139906840314836,0.0026320024072664858,-0.1936733733270406,0.10730365182591296
0.7962467322952351,-57.36266013692386,0.0025858470673801037,-0.19469536958779687,0.10785392696348174
0.8049649392566732,-57.59349239708557,0.0025458372386989586,-0.19571463632394695,0.10840420210105053
0.8134194359548657,-57.82885790699813,0.002510955957329697,-0.19673237313258074,0.10895447723861931
0.8329924135450302,-57.940619867595736,0.002417614598597184,-0.1977918787199281,0.10950475237618809
